customer_id,age,occupation,income,pep,kyc_risk_score,branch
CUST000000,58,Salaried,31185,0,13,Bhopal
CUST000001,33,Business,19994,0,27,Nagpur
CUST000002,61,Farmer,18696,0,21,Mumbai
CUST000003,45,Salaried,18696,0,13,Nagpur
CUST000004,31,Business,66532,0,74,Mumbai
CUST000005,19,Farmer,37692,0,35,Mumbai
CUST000006,44,Business,15857,0,67,Mumbai
CUST000007,35,Salaried,32202,0,30,Indore
CUST000008,39,Student,26091,0,29,Pune
CUST000009,66,Student,5771,0,23,Nagpur
CUST000010,42,Salaried,10840,0,55,Bhopal
CUST000011,56,Student,27445,0,15,Indore
CUST000012,52,Salaried,61448,0,58,Nagpur
CUST000013,53,Student,18806,0,56,Mumbai
CUST000014,30,Salaried,15046,0,15,Pune
CUST000015,67,Student,23804,0,20,Pune
CUST000016,73,Salaried,14465,0,58,Bhopal
CUST000017,47,Student,17958,0,30,Bhopal
CUST000018,40,Business,21819,0,44,Nagpur
CUST000019,56,Business,10504,0,78,Pune
CUST000020,28,Professional,39174,0,58,Bhopal
CUST000021,58,Farmer,9371,0,38,Bhopal
CUST000022,71,Salaried,8692,0,39,Nagpur
CUST000023,69,Student,25280,0,61,Bhopal
CUST000024,22,Business,36935,0,50,Pune
CUST000025,59,Professional,24833,0,60,Indore
CUST000026,27,Student,20313,0,27,Pune
CUST000027,65,Farmer,17840,0,78,Bhopal
CUST000028,65,Farmer,15955,0,64,Mumbai
CUST000029,43,Student,46165,0,38,Pune
CUST000030,50,Professional,27635,0,21,Nagpur
CUST000031,73,Salaried,16821,1,29,Pune
CUST000032,68,Professional,13713,0,18,Indore
CUST000033,42,Farmer,33798,0,69,Mumbai
CUST000034,34,Farmer,45328,0,11,Nagpur
CUST000035,61,Farmer,42272,0,44,Bhopal
CUST000036,25,Student,12241,0,65,Pune
CUST000037,47,Salaried,17739,0,43,Mumbai
CUST000038,66,Business,15749,0,74,Nagpur
CUST000039,73,Student,19342,0,74,Mumbai
CUST000040,30,Business,38900,0,57,Pune
CUST000041,52,Farmer,56918,0,10,Mumbai
CUST000042,38,Professional,28371,0,12,Nagpur
CUST000043,41,Student,14022,0,40,Nagpur
CUST000044,33,Farmer,21480,0,20,Nagpur
CUST000045,64,Professional,65857,0,18,Mumbai
CUST000046,67,Business,23410,0,26,Indore
CUST000047,53,Business,17866,0,43,Mumbai
CUST000048,73,Farmer,18887,0,64,Pune
CUST000049,52,Business,28281,0,49,Indore
CUST000050,60,Student,12507,0,66,Mumbai
CUST000051,46,Salaried,15502,0,41,Pune
CUST000052,22,Student,41805,0,12,Mumbai
CUST000053,53,Business,27725,0,38,Nagpur
CUST000054,22,Salaried,23575,0,39,Nagpur
CUST000055,75,Salaried,43392,0,52,Nagpur
CUST000056,50,Business,13474,0,45,Indore
CUST000057,31,Farmer,17511,0,26,Mumbai
CUST000058,54,Professional,27099,0,41,Indore
CUST000059,69,Professional,26442,0,34,Nagpur
CUST000060,24,Professional,8178,0,55,Indore
CUST000061,44,Professional,16408,0,16,Nagpur
CUST000062,21,Professional,19674,0,53,Nagpur
CUST000063,33,Business,29226,0,34,Mumbai
CUST000064,46,Business,26377,0,64,Pune
CUST000065,35,Professional,20908,0,41,Nagpur
CUST000066,46,Farmer,5749,0,22,Nagpur
CUST000067,59,Farmer,21621,0,11,Nagpur
CUST000068,66,Business,22974,0,31,Indore
CUST000069,49,Professional,123533,0,37,Indore
CUST000070,75,Salaried,19251,0,31,Indore
CUST000071,18,Professional,27203,0,43,Indore
CUST000072,36,Professional,49019,0,72,Pune
CUST000073,30,Student,37285,0,37,Nagpur
CUST000074,55,Farmer,58803,0,17,Bhopal
CUST000075,21,Salaried,8256,0,71,Mumbai
CUST000076,72,Farmer,11010,0,30,Nagpur
CUST000077,50,Salaried,14817,0,33,Nagpur
CUST000078,56,Salaried,7439,0,40,Indore
CUST000079,25,Farmer,23109,0,41,Mumbai
CUST000080,56,Salaried,11572,0,20,Indore
CUST000081,60,Farmer,65183,0,76,Bhopal
CUST000082,34,Business,12730,0,50,Pune
CUST000083,34,Professional,17580,0,26,Bhopal
CUST000084,47,Student,38927,0,19,Nagpur
CUST000085,47,Farmer,9305,0,22,Nagpur
CUST000086,52,Business,7149,0,74,Bhopal
CUST000087,26,Student,25065,0,18,Pune
CUST000088,41,Student,26421,0,30,Indore
CUST000089,71,Farmer,38073,0,48,Mumbai
CUST000090,69,Farmer,31740,0,11,Mumbai
CUST000091,37,Salaried,27116,0,27,Bhopal
CUST000092,25,Salaried,13684,0,80,Pune
CUST000093,35,Student,25915,0,36,Bhopal
CUST000094,31,Student,27042,0,74,Indore
CUST000095,34,Salaried,13359,0,21,Indore
CUST000096,71,Student,81311,0,15,Nagpur
CUST000097,39,Business,30689,0,43,Pune
CUST000098,65,Professional,11133,0,80,Indore
CUST000099,53,Salaried,38214,0,24,Nagpur
CUST000100,74,Business,43233,0,79,Nagpur
CUST000101,71,Student,29405,0,80,Pune
CUST000102,45,Business,18550,0,15,Bhopal
CUST000103,41,Salaried,12995,0,55,Pune
CUST000104,61,Business,20869,0,23,Bhopal
CUST000105,67,Farmer,27967,0,62,Mumbai
CUST000106,65,Business,22227,0,40,Pune
CUST000107,69,Business,60929,0,62,Nagpur
CUST000108,29,Student,34131,0,62,Pune
CUST000109,35,Business,12088,0,23,Indore
CUST000110,73,Salaried,10408,0,70,Pune
CUST000111,30,Professional,30875,0,54,Bhopal
CUST000112,70,Business,18836,0,38,Nagpur
CUST000113,60,Business,36308,0,61,Bhopal
CUST000114,35,Salaried,30676,0,45,Bhopal
CUST000115,59,Farmer,20931,0,61,Mumbai
CUST000116,39,Salaried,12176,0,24,Bhopal
CUST000117,29,Farmer,7628,0,43,Nagpur
CUST000118,24,Farmer,25587,0,65,Bhopal
CUST000119,64,Student,9209,0,65,Mumbai
CUST000120,50,Salaried,11864,0,59,Mumbai
CUST000121,30,Student,24528,1,15,Indore
CUST000122,18,Farmer,22942,0,78,Pune
CUST000123,41,Professional,9896,0,18,Bhopal
CUST000124,57,Student,47010,0,25,Bhopal
CUST000125,50,Student,46058,0,62,Bhopal
CUST000126,43,Student,31587,0,80,Pune
CUST000127,30,Professional,31560,0,58,Pune
CUST000128,57,Farmer,31588,0,48,Indore
CUST000129,53,Salaried,326737,0,48,Bhopal
CUST000130,31,Professional,42950,0,51,Indore
CUST000131,46,Professional,34751,0,37,Mumbai
CUST000132,48,Business,12823,0,20,Bhopal
CUST000133,50,Farmer,18661,0,52,Nagpur
CUST000134,70,Business,111330,0,49,Pune
CUST000135,69,Business,5960,0,28,Nagpur
CUST000136,20,Business,15829,0,70,Mumbai
CUST000137,72,Salaried,47205,0,68,Indore
CUST000138,74,Farmer,13350,0,34,Indore
CUST000139,49,Professional,35444,0,41,Pune
CUST000140,59,Salaried,22740,0,23,Indore
CUST000141,32,Business,13959,0,76,Indore
CUST000142,21,Farmer,5336,0,41,Nagpur
CUST000143,47,Business,25097,0,69,Mumbai
CUST000144,53,Farmer,12647,0,50,Indore
CUST000145,57,Farmer,20326,0,64,Mumbai
CUST000146,46,Business,31366,0,70,Indore
CUST000147,34,Business,40377,0,45,Mumbai
CUST000148,49,Business,15796,0,45,Indore
CUST000149,22,Student,13942,0,40,Bhopal
CUST000150,39,Student,9112,0,79,Nagpur
CUST000151,26,Business,41877,0,39,Indore
CUST000152,62,Business,97295,0,37,Nagpur
CUST000153,44,Professional,45375,0,52,Mumbai
CUST000154,47,Professional,53467,0,17,Pune
CUST000155,71,Professional,13421,0,59,Mumbai
CUST000156,62,Salaried,30051,0,58,Indore
CUST000157,18,Student,37882,0,48,Indore
CUST000158,72,Professional,2278,0,78,Mumbai
CUST000159,69,Farmer,10752,0,38,Indore
CUST000160,32,Student,69057,0,65,Indore
CUST000161,19,Professional,8094,0,53,Indore
CUST000162,64,Business,60408,0,69,Pune
CUST000163,57,Farmer,8061,0,13,Indore
CUST000164,55,Farmer,11080,0,13,Nagpur
CUST000165,59,Professional,30438,0,27,Indore
CUST000166,29,Salaried,23129,0,43,Indore
CUST000167,38,Business,16819,0,68,Bhopal
CUST000168,39,Professional,66850,0,45,Indore
CUST000169,34,Salaried,9260,0,70,Nagpur
CUST000170,65,Farmer,19806,0,16,Bhopal
CUST000171,32,Salaried,33250,0,15,Nagpur
CUST000172,33,Business,26814,0,12,Mumbai
CUST000173,27,Business,14244,0,26,Indore
CUST000174,60,Salaried,14580,0,37,Indore
CUST000175,62,Student,39923,0,57,Pune
CUST000176,56,Farmer,41345,0,24,Pune
CUST000177,37,Salaried,27312,0,13,Bhopal
CUST000178,54,Professional,12328,0,60,Pune
CUST000179,22,Farmer,14881,0,41,Nagpur
CUST000180,62,Student,21706,0,25,Mumbai
CUST000181,68,Salaried,23911,0,54,Mumbai
CUST000182,45,Student,32304,0,18,Mumbai
CUST000183,59,Student,19119,0,11,Indore
CUST000184,70,Professional,39253,0,23,Indore
CUST000185,41,Professional,38927,0,29,Indore
CUST000186,29,Farmer,54931,0,44,Mumbai
CUST000187,69,Farmer,22352,0,71,Indore
CUST000188,45,Farmer,27637,0,44,Bhopal
CUST000189,72,Business,20108,0,21,Bhopal
CUST000190,74,Professional,12422,0,41,Indore
CUST000191,54,Farmer,95289,0,58,Bhopal
CUST000192,19,Professional,49547,0,51,Pune
CUST000193,49,Business,38336,0,55,Bhopal
CUST000194,39,Student,21838,0,45,Mumbai
CUST000195,18,Farmer,11753,0,34,Nagpur
CUST000196,33,Professional,43590,0,72,Mumbai
CUST000197,66,Business,19871,0,70,Indore
CUST000198,46,Salaried,29408,0,21,Bhopal
CUST000199,32,Professional,14844,0,41,Bhopal
CUST000200,60,Farmer,26146,0,57,Indore
CUST000201,53,Farmer,15446,0,54,Indore
CUST000202,65,Farmer,15839,0,52,Bhopal
